edge_id,source_id,relationship,target_id,relationship_id,doi,evidence_strength,causal_status
edge:0147386a82dd7e07,evidencerecord:bdca828d8c409948,SUPPORTS,scientificclaim:b2b67476e8926631,R05,10.1002/advs.202521518,triangulated,complementary_only
edge:03237d81433f65e9,kpfmobservation:81905b2d749b514c,SUPPORTS_CLAIM,scientificclaim:4663d616a3a72243,R14,10.1002/advs.202400117,triangulated,complementary_only
edge:04a10821a6497727,kpfmobservation:8274d4e704455143,COMPLEMENTS,trplcontextobservation:2485a776ed9a24a6,R11,10.1002/anie.202424041,triangulated,complementary_only
edge:05a181077d059447,samplecomparison:2eba67175ec98711,HAS_OPTICAL_OBSERVATION,steadystateplobservation:3fb28269a958db73,R05,10.1002/advs.202521518,triangulated,complementary_only
edge:09fc34c8edd11154,kpfmobservation:6a9bf7d89c85a65b,COMPLEMENTS,trplcontextobservation:65d541d7d3ffe63c,R06,10.1002/advs.202203210,triangulated,complementary_only
edge:0ae5b48e59c0ba42,kpfmobservation:1596af69bef5017c,COMPLEMENTS,steadystateplobservation:57763e2b7ba44327,R10,10.1002/anie.202424041,triangulated,complementary_only
edge:0bdfa0ee09ab81a4,steadystateplobservation:53284664e4d85922,SUPPORTS_CLAIM,scientificclaim:d3911039768ec2ef,R01,10.20517/energymater.2025.183,triangulated,complementary_only
edge:0d55539daf040f9c,samplecomparison:94acae4f51064107,HAS_KPFM_OBSERVATION,kpfmobservation:8274d4e704455143,R11,10.1002/anie.202424041,triangulated,complementary_only
edge:0d55f96668006726,trplcontextobservation:96d2a9ed0b01a157,SUPPORTS_CLAIM,scientificclaim:2b228bf38bf32315,R07,10.34133/research.0196,triangulated,complementary_only
edge:10c6b48604e84659,kpfmobservation:c1e1a0c6e3f25a28,COMPLEMENTS,trplcontextobservation:6efce7525baf9daa,R16,10.1002/advs.202518676,triangulated,complementary_only
edge:184ca6be6db581a4,kpfmobservation:41bb380f6af26b65,SUPPORTS_CLAIM,scientificclaim:e5c95c52f764c574,R04,10.1002/advs.202521518,triangulated,complementary_only
edge:18aa824cadd2810d,scientificclaim:ae9d4a3f3c58f4a7,INTERPRETED_AS,proposedliteratureinterpretation:0101eba05438dc5f,R11,10.1002/anie.202424041,triangulated,complementary_only
edge:1b3470dacdd6c775,samplecomparison:0ca6d85a5888e73a,HAS_OPTICAL_OBSERVATION,steadystateplobservation:92b252c7aae6bd31,R13,10.1002/advs.202400117,triangulated,complementary_only
edge:1e17578cf5b64434,paper:465f738b00115c4c,REPORTS_COMPARISON,samplecomparison:4c088b2a757a6fdf,R07,10.34133/research.0196,triangulated,complementary_only
edge:1fd1ca0c84258170,trplcontextobservation:5d3ec4095d54d9bc,SUPPORTS_CLAIM,scientificclaim:e5c95c52f764c574,R04,10.1002/advs.202521518,triangulated,complementary_only
edge:210ffaec61e945e3,kpfmobservation:b3c10566dd902cb0,COMPLEMENTS,steadystateplobservation:44d5a458b753295e,R03,10.1002/advs.202521518,triangulated,complementary_only
edge:2352b68c835d6982,paper:9335e4a63c9d432e,REPORTS_COMPARISON,samplecomparison:94acae4f51064107,R11,10.1002/anie.202424041,triangulated,complementary_only
edge:264704e085cc3730,kpfmobservation:40a10e50351b65fd,SUPPORTS_CLAIM,scientificclaim:6dac43d567a3eab8,R12,10.1002/advs.202400117,triangulated,complementary_only
edge:2650a82f5a410da4,paper:7277234653dea00c,REPORTS_COMPARISON,samplecomparison:5ecf0d915b659879,R15,10.1002/advs.202518676,triangulated,complementary_only
edge:294600d3c0207c08,scientificclaim:49e63aea6032a8be,INTERPRETED_AS,proposedliteratureinterpretation:2c303ac186dfd036,R10,10.1002/anie.202424041,triangulated,complementary_only
edge:2bf2281c3c1e4ab9,kpfmobservation:873e0ad6ce4c0d62,COMPLEMENTS,trplcontextobservation:c174f753ff0cd124,R02,10.20517/energymater.2025.183,triangulated,complementary_only
edge:313fc94593335623,kpfmobservation:6a9bf7d89c85a65b,SUPPORTS_CLAIM,scientificclaim:27e35a169ac2c942,R06,10.1002/advs.202203210,triangulated,complementary_only
edge:35887aea0876391e,paper:9335e4a63c9d432e,REPORTS_COMPARISON,samplecomparison:e5d9ef20737fc97e,R09,10.1002/anie.202424041,triangulated,complementary_only
edge:37df9d04b1d4fcfd,samplecomparison:50b29d14f5f2ff4c,HAS_OPTICAL_OBSERVATION,trplcontextobservation:f392ee3c8e05bc67,R14,10.1002/advs.202400117,triangulated,complementary_only
edge:392e1f9ececf651c,scientificclaim:6db0961db9b3fdec,INTERPRETED_AS,proposedliteratureinterpretation:65363f1f9647ab05,R13,10.1002/advs.202400117,triangulated,complementary_only
edge:3972ebf269c43635,evidencerecord:422fea803bbacb61,SUPPORTS,scientificclaim:2b228bf38bf32315,R07,10.34133/research.0196,triangulated,complementary_only
edge:3a775315a458ec4a,samplecomparison:4c088b2a757a6fdf,HAS_OPTICAL_OBSERVATION,trplcontextobservation:96d2a9ed0b01a157,R07,10.34133/research.0196,triangulated,complementary_only
edge:3c5a7ee6792ef2a1,samplecomparison:040fe3cbbf05b15f,HAS_OPTICAL_OBSERVATION,steadystateplobservation:69227c1d529c46c4,R12,10.1002/advs.202400117,triangulated,complementary_only
edge:3dee1ba4fb0d0506,steadystateplobservation:44d5a458b753295e,SUPPORTS_CLAIM,scientificclaim:a879a8ac508a6a96,R03,10.1002/advs.202521518,triangulated,complementary_only
edge:3e248ee6adf9b187,samplecomparison:b431e72992207b3c,HAS_OPTICAL_OBSERVATION,steadystateplobservation:57763e2b7ba44327,R10,10.1002/anie.202424041,triangulated,complementary_only
edge:3e4e08d368b96794,scientificclaim:27e35a169ac2c942,INTERPRETED_AS,proposedliteratureinterpretation:e8e87869ebdf8a40,R06,10.1002/advs.202203210,triangulated,complementary_only
edge:404ee2a5682eeda4,paper:8941058fb1e23bdd,REPORTS_COMPARISON,samplecomparison:6cad1f9aa4badca8,R06,10.1002/advs.202203210,triangulated,complementary_only
edge:45159feb8c09e4a4,kpfmobservation:830c37cabde87e4d,COMPLEMENTS,steadystateplobservation:53284664e4d85922,R01,10.20517/energymater.2025.183,triangulated,complementary_only
