node_id,node_type,label,doi,relationship_id,attributes_json
evidencerecord:090ce71ab0ac9d50,EvidenceRecord,R15,10.1002/advs.202518676,R15,"{""source_table"": ""Table S4""}"
evidencerecord:2979144b8aa9f134,EvidenceRecord,R12,10.1002/advs.202400117,R12,"{""source_table"": ""Table S4""}"
evidencerecord:422fea803bbacb61,EvidenceRecord,R07,10.34133/research.0196,R07,"{""source_table"": ""Table S4""}"
evidencerecord:448c471d0a3a7003,EvidenceRecord,R02,10.20517/energymater.2025.183,R02,"{""source_table"": ""Table S4""}"
evidencerecord:4c6bbad52cc4fe7d,EvidenceRecord,R10,10.1002/anie.202424041,R10,"{""source_table"": ""Table S4""}"
evidencerecord:54b893820f7d9e19,EvidenceRecord,R01,10.20517/energymater.2025.183,R01,"{""source_table"": ""Table S4""}"
evidencerecord:5bd650f3ccb68b94,EvidenceRecord,R14,10.1002/advs.202400117,R14,"{""source_table"": ""Table S4""}"
evidencerecord:61045c77e5668941,EvidenceRecord,R13,10.1002/advs.202400117,R13,"{""source_table"": ""Table S4""}"
evidencerecord:65d88955f16ad2d0,EvidenceRecord,R16,10.1002/advs.202518676,R16,"{""source_table"": ""Table S4""}"
evidencerecord:6b79dc5a8438ff76,EvidenceRecord,R09,10.1002/anie.202424041,R09,"{""source_table"": ""Table S4""}"
evidencerecord:bdca828d8c409948,EvidenceRecord,R05,10.1002/advs.202521518,R05,"{""source_table"": ""Table S4""}"
evidencerecord:c60baaa2bf4abb63,EvidenceRecord,R06,10.1002/advs.202203210,R06,"{""source_table"": ""Table S4""}"
evidencerecord:e1628fda3895cfbc,EvidenceRecord,R04,10.1002/advs.202521518,R04,"{""source_table"": ""Table S4""}"
evidencerecord:ecf6aaf3998b4079,EvidenceRecord,R03,10.1002/advs.202521518,R03,"{""source_table"": ""Table S4""}"
evidencerecord:fea434fd4034b695,EvidenceRecord,R11,10.1002/anie.202424041,R11,"{""source_table"": ""Table S4""}"
kpfmobservation:1596af69bef5017c,KPFMObservation,"CPD-distribution standard deviation
24.8 mV (control) and 11.3 mV (compound 2).",10.1002/anie.202424041,R10,{}
kpfmobservation:40a10e50351b65fd,KPFMObservation,"surface-potential variation
Approximately 80 mV (control) versus 10 mV (BAAc RT); both RT treatments reduced heterogeneity.",10.1002/advs.202400117,R12,{}
kpfmobservation:41bb380f6af26b65,KPFMObservation,"contact potential difference (CPD)
-0.768, -0.782, and -0.863 V respectively",10.1002/advs.202521518,R04,{}
kpfmobservation:51a75a62c5e223f2,KPFMObservation,"surface-potential distribution
Modified HTLs showed higher surface potential and a more uniform distribution.",10.1002/advs.202518676,R15,{}
kpfmobservation:54e889e953284b60,KPFMObservation,"contact potential difference (CPD)
Larger for the GHJ film than for the control.",10.34133/research.0196,R07,{}
kpfmobservation:6a9bf7d89c85a65b,KPFMObservation,"CPD between GBs and GIs
cannot be clearly distinguished",10.1002/advs.202203210,R06,{}
kpfmobservation:81905b2d749b514c,KPFMObservation,"surface-potential variation
Approximately 80 mV (control) versus 10 mV (BAAc RT); both RT treatments reduced heterogeneity.",10.1002/advs.202400117,R14,{}
kpfmobservation:8274d4e704455143,KPFMObservation,"KPFM-derived surface work function
4.77 eV (control); negligible change with compound 1; 4.68 eV with compound 2.",10.1002/anie.202424041,R11,{}
kpfmobservation:830c37cabde87e4d,KPFMObservation,"contact potential difference (CPD)
increases sequentially",10.20517/energymater.2025.183,R01,{}
kpfmobservation:873e0ad6ce4c0d62,KPFMObservation,"contact potential difference (CPD)
increases sequentially",10.20517/energymater.2025.183,R02,{}
kpfmobservation:abaac9714dae671d,KPFMObservation,"surface-potential variation
Approximately 80 mV (control) versus 10 mV (BAAc RT).",10.1002/advs.202400117,R13,{}
kpfmobservation:b3c10566dd902cb0,KPFMObservation,"mean contact potential difference (CPD)
−0.768, −0.782, and −0.863 V, respectively",10.1002/advs.202521518,R03,{}
kpfmobservation:c1e1a0c6e3f25a28,KPFMObservation,"surface-potential distribution
Modified HTLs showed higher surface potential and a more uniform distribution.",10.1002/advs.202518676,R16,{}
