relationship_id,paper_title,doi,intervention_or_comparison,kpfm_observable_and_direct_result,pl_family_observable_and_direct_result,evidence_grounded_claim,complementary_interpretation,interpretation_limit,evidence_strength,causal_status
R01,Electron-donor/-acceptor ratio-guided molecular engineering for buried interface optimization in n-i-p perovskite solar cells,10.20517/energymater.2025.183,"control to AA, ABA, and DBA","contact potential difference (CPD)
increases sequentially","PLQY
5.51% (control), 10.76% (AA), 11.70% (ABA), and 12.52% (DBA)
Steady-state PL intensity is the closest analogue measured here; PLQY was not measured.",Interfacial-potential changes co-occur with changes in radiative emission yield or net non-radiative loss.,The pair tests whether energetic-interface modification is accompanied by a change in emissive quality.,"PL intensity also depends on excitation, absorption, thickness, collection, and stack geometry. Co-observation is not causation.",triangulated,complementary_only
R02,Electron-donor/-acceptor ratio-guided molecular engineering for buried interface optimization in n-i-p perovskite solar cells,10.20517/energymater.2025.183,"control to AA, ABA, and DBA","contact potential difference (CPD)
increases sequentially","carrier lifetime (τavg)
162.00 ns (control), 139.66 ns (AA), 90.77 ns (ABA), and 3.35 ns (DBA)
Broader carrier-dynamics context; not directly measured in the present study.",Interfacial-potential or electric-field changes co-occur with changes in carrier decay or extraction kinetics.,The pair connects an energetic/electrostatic change to its carrier-kinetic response in the same treatment comparison.,Lifetime direction is context dependent: shorter decay can indicate faster extraction or stronger recombination. Co-observation is not causation.,triangulated,complementary_only
R03,Regioisomeric Effects on Enhancing p ‐Type Characteristics of Self‐Assembled Molecules in Inverted Perovskite Solar Cells,10.1002/advs.202521518,"FTO/Me-4PACz, FTO/Me-4PACz/3,7-Br, and FTO/Me-4PACz/2,8-Br treatment series","mean contact potential difference (CPD)
−0.768, −0.782, and −0.863 V, respectively","steady-state PL intensity
Increased further after 3,7-Br or 2,8-Br treatment relative to the Me-4PACz control.
Steady-state PL intensity is directly relevant to the present optical comparison.","Across the same treatment series, the more-negative mean CPD values after 3,7-Br and 2,8-Br treatment accompanied increased steady-state PL intensity.","KPFM reports treatment-dependent interfacial potential, while PL reports the emissive response of perovskite grown on the same treatment groups.","KPFM characterized the treated SAM surfaces, whereas PL used perovskite layers on the corresponding substrates. The treatment comparison is matched, but the measurement fields/specimens differ; co-observation is not causation.",triangulated,complementary_only
R04,Regioisomeric Effects on Enhancing p ‐Type Characteristics of Self‐Assembled Molecules in Inverted Perovskite Solar Cells,10.1002/advs.202521518,"FTO/Me-4PACz, FTO/Me-4PACz/3,7-Br, and FTO/Me-4PACz/2,8-Br films","contact potential difference (CPD)
-0.768, -0.782, and -0.863 V respectively","carrier lifetime (τavg)
2951 ns (Me-4PACz control), 4080 ns (3,7-Br), and 4278 ns (2,8-Br)
Broader carrier-dynamics context; not directly measured in the present study.",Interfacial-potential or electric-field changes co-occur with changes in carrier decay or extraction kinetics.,The pair connects an energetic/electrostatic change to its carrier-kinetic response in the same treatment comparison.,"KPFM characterized the treated SAM surfaces, whereas PL used perovskite layers on the corresponding substrates. The treatment comparison is matched, but the measurement fields/specimens differ; co-observation is not causation.",triangulated,complementary_only
R05,Regioisomeric Effects on Enhancing p ‐Type Characteristics of Self‐Assembled Molecules in Inverted Perovskite Solar Cells,10.1002/advs.202521518,"FTO/Me-4PACz, FTO/Me-4PACz/3,7-Br, and FTO/Me-4PACz/2,8-Br treatment series","CPD-distribution full width at half maximum (FWHM)
Decreased after 3,7-Br and 2,8-Br treatment.","steady-state PL intensity
Increased further after 3,7-Br or 2,8-Br treatment relative to the Me-4PACz control.
Steady-state PL intensity is directly relevant to the present optical comparison.","Narrower CPD distributions after 3,7-Br and 2,8-Br treatment accompanied increased PL intensity in the corresponding treatment groups.","CPD-distribution width reports energetic uniformity, while PL reports the emissive response to the same treatment series.","KPFM characterized the treated SAM surfaces, whereas PL used perovskite layers on the corresponding substrates. The treatment comparison is matched, but the measurement fields/specimens differ; co-observation is not causation.",triangulated,complementary_only
R06,Pure 2D Perovskite Formation by Interfacial Engineering Yields a High Open‐Circuit Voltage beyond 1.28 V for 1.77‐eV Wide‐Bandgap Perovskite Solar Cells,10.1002/advs.202203210,PEABr post-treatment at 60 °C,"CPD between GBs and GIs
cannot be clearly distinguished","carrier lifetime (τavg)
659.18 ns (PEABr-60), versus 449.46 ns (control), 622.12 ns (PEABr-25), and 551.75 ns (PEABr-100)
Broader carrier-dynamics context; not directly measured in the present study.",Interfacial-potential or electric-field changes co-occur with changes in carrier decay or extraction kinetics.,The pair connects an energetic/electrostatic change to its carrier-kinetic response in the same treatment comparison.,Lifetime direction is context dependent: shorter decay can indicate faster extraction or stronger recombination. Co-observation is not causation.,triangulated,complementary_only
R07,Graded Heterojunction Improves Wide-Bandgap Perovskite for Highly Efficient 4-Terminal Perovskite/Silicon Tandem Solar Cells,10.34133/research.0196,WBG perovskite film with GHJ versus control without GHJ,"contact potential difference (CPD)
Larger for the GHJ film than for the control.","TRPL average carrier lifetime
231.12 ns (GHJ) versus 92.31 ns (control); PbI2-rich intermediate: 173.91 ns.
Broader carrier-dynamics context; not directly measured in the present study.",The GHJ film showed a larger CPD and a longer average TRPL lifetime than the control film.,"KPFM reports the treatment-dependent surface-potential shift, while TRPL reports carrier-decay kinetics for the same film series.","The measurements were performed on corresponding film groups, not a spatially registered field. Longer lifetime can reflect suppressed recombination but does not establish a causal CPD pathway.",triangulated,complementary_only
R09,Modulating Perovskite Surface Energetics Through Tuneable Ferrocene Interlayers for High‐Performance Perovskite Solar Cells,10.1002/anie.202424041,"unpassivated control, compound 1, and compound 2-treated perovskite films","KPFM-derived surface work function
4.77 eV (control); negligible change with compound 1; 4.68 eV with compound 2.","steady-state PL intensity
Increased for compounds 1 and 2 relative to the control.
Steady-state PL intensity is directly relevant to the present optical comparison.","Both Fc compounds increased steady-state PL intensity, whereas a substantial KPFM-derived work-function decrease occurred only with compound 2.",PL distinguishes the passivation-related emissive response from KPFM-derived work-function tuning across the same treatment series.,KPFM and luminescence measurements used corresponding treatment groups but separate specimens/geometries. Co-trending does not establish that the work-function change caused the luminescence response.,triangulated,complementary_only
R10,Modulating Perovskite Surface Energetics Through Tuneable Ferrocene Interlayers for High‐Performance Perovskite Solar Cells,10.1002/anie.202424041,unpassivated control versus compound 2-treated perovskite films,"CPD-distribution standard deviation
24.8 mV (control) and 11.3 mV (compound 2).","PL-mapping intensity and spatial distribution
Compound 2 showed a substantial mean decrease and much-improved homogeneity relative to the control in C60-contacted stacks.",The strongest narrowing of the CPD distribution (compound 2) accompanied the strongest and most spatially uniform PL quenching at the perovskite/C60 interface.,"KPFM maps energetic uniformity, while PL mapping reports the spatial uniformity of charge extraction for the same interlayer series.","The maps were not spatially registered. In the C60-contacted PL stack, lower PL was interpreted as stronger extraction rather than as poorer emissive quality; the association is noncausal.",triangulated,complementary_only
R11,Modulating Perovskite Surface Energetics Through Tuneable Ferrocene Interlayers for High‐Performance Perovskite Solar Cells,10.1002/anie.202424041,"unpassivated control, compound 1, and compound 2-treated perovskite films","KPFM-derived surface work function
4.77 eV (control); negligible change with compound 1; 4.68 eV with compound 2.","TRPL average carrier lifetime
1046 ns (control), 1175 ns (compound 1), and 1525 ns (compound 2)
Broader carrier-dynamics context; not directly measured in the present study.","Both Fc compounds lengthened the average carrier lifetime, whereas a substantial KPFM-derived work-function decrease occurred only with compound 2.","TRPL reports passivation-related carrier decay, while KPFM-derived work function reports energetic tuning across the same treatment series.",KPFM and luminescence measurements used corresponding treatment groups but separate specimens/geometries. Co-trending does not establish that the work-function change caused the luminescence response.,triangulated,complementary_only
