well_id,FAPbI3_pct,BDAPbI4_pct,PEA2PbI4_pct,acquisition_number,elapsed_time_min,timestamp_approx,read_geometry,read_number,existing_peak_intensity_recomputed,integrated_pl_area,peak_wavelength_nm,fwhm_nm,baseline,qc_flags,matched_PL_intensity,peak_intensity_rank,integrated_area_rank,rank_difference_area_vs_peak,abs_rank_difference_area_vs_peak,abs_delta_SP,delta_SP,delta_SP_se,delta_SP_rank,integrated_area_rank_disagreement,peak_intensity_rank_disagreement,temporal_behavior_class,PL_rank,photoKPFM_rank,rank_shift,rank_category
G1,0,24,76,22,189.0,2026-03-05 20:06:08,top,64,96761.41991341978,2526627.5,560.0,17.087093833663687,0.0,missing_or_overflow_points;possible_saturation,99928.0,1.0,5.0,31.0,31.0,0.1311007166339663,0.1311007166339663,0.0043449999871479,3.0,-2.0,2.0,Lower observed temporal variation,1,3,2,Both in top 4
H1,8,16,76,22,189.0,2026-03-05 20:06:08,top,64,82545.69264069253,9098829.5,556.0,16.614573378312016,0.0,missing_or_overflow_points;possible_saturation,99569.0,2.0,1.0,5.0,5.0,0.0368657369585332,0.0368657369585332,0.0008936424741818,7.0,6.0,5.0,Lower observed temporal variation,2,7,5,PL at least 5 ranks higher
A1,0,0,100,22,189.0,2026-03-05 20:06:08,top,64,89757.87012987002,1948501.5,575.0,10.611451547795369,0.0,missing_or_overflow_points;possible_saturation,99038.0,3.0,7.0,33.0,33.0,0.134667099072998,0.134667099072998,0.0024492597288245,2.0,-5.0,-1.0,Lower observed temporal variation,3,2,-1,Both in top 4
B1,0,8,92,22,189.0,2026-03-05 20:06:08,top,64,71167.52380952371,1773985.5,566.0,14.188679962243846,0.0,missing_or_overflow_points;possible_saturation,99032.0,4.0,8.0,36.0,36.0,0.1353365606641843,0.1353365606641843,0.0080355924719144,1.0,-7.0,-3.0,Lower observed temporal variation,4,1,-3,Both in top 4
A3,8,32,60,22,189.0,2026-03-05 20:06:08,top,64,79579.48484848475,6994685.0,549.0,9.324789260072542,0.0,missing_or_overflow_points;possible_saturation,88436.0,5.0,2.0,-12.0,12.0,0.0044274862678193,0.0044274862678193,0.0049762933953442,12.0,10.0,7.0,Lower observed temporal variation,5,12,7,PL at least 5 ranks higher
F6,0,72,28,22,189.0,2026-03-05 20:06:08,top,64,79203.90476190465,2238267.0,524.0,22.78747163407462,0.0,possible_saturation,80449.0,6.0,6.0,7.0,7.0,0.0049007349434306,-0.0049007349434306,0.0092491043764306,11.0,5.0,5.0,Pronounced temporal evolution,6,11,5,PL at least 5 ranks higher
D5,56,0,44,22,189.0,2026-03-05 20:06:08,top,64,55839.82683982676,3267773.0,790.0,47.14647904404586,9.0,ok,56767.0,7.0,3.0,-6.0,6.0,0.1042604069110229,0.1042604069110229,0.008060553093453,4.0,1.0,-3.0,Pronounced temporal evolution,7,4,-3,Other
G6,8,64,28,22,189.0,2026-03-05 20:06:08,top,64,27939.19047619044,2531244.0,524.0,20.932723469743845,0.0,ok,28094.0,8.0,4.0,-20.0,20.0,0.0112850306380387,0.0112850306380387,0.0080481171345715,10.0,6.0,2.0,Pronounced temporal evolution,8,10,2,Other
G10,0,96,4,22,189.0,2026-03-05 20:06:08,top,64,20634.796536796508,685942.0,524.0,22.446326344236876,0.0,ok,20814.0,9.0,10.0,21.0,21.0,0.0340452233842491,0.0340452233842491,0.0017018792099591,8.0,-2.0,-1.0,Pronounced temporal evolution,9,8,-1,Other
A6,32,32,36,22,189.0,2026-03-05 20:06:08,top,64,18184.16450216448,1151937.5,782.0,45.18053103575346,38.0,ok,19209.0,10.0,9.0,5.0,5.0,0.0606512039074731,0.0606512039074731,0.005743163085631,6.0,-3.0,-4.0,Lower observed temporal variation,10,6,-4,Other
B11,24,72,4,22,189.0,2026-03-05 20:06:08,top,64,4103.320346320341,507420.5,745.0,115.11979614812188,0.0,ok,4485.0,11.0,11.0,-3.0,3.0,0.0324012235437138,-0.0324012235437138,0.0031239943141511,9.0,-2.0,-2.0,Pronounced temporal evolution,11,9,-2,Other
H11,72,24,4,22,189.0,2026-03-05 20:06:08,top,64,3171.4935064935016,386877.5,756.0,114.74230577290444,0.0,ok,3389.0,12.0,12.0,-3.0,3.0,0.0007009675917131,-0.0007009675917131,0.0060075696206591,13.0,1.0,1.0,Pronounced temporal evolution,12,13,1,Other
C12,96,0,4,22,189.0,2026-03-05 20:06:08,top,64,2596.043290043286,173309.5,795.0,53.34120899979132,0.0,ok,2761.0,13.0,13.0,0.0,0.0,0.0901658371294151,0.0901658371294151,0.0070333717760785,5.0,-8.0,-8.0,Pronounced temporal evolution,13,5,-8,photoKPFM at least 5 ranks higher
