Well,photovoltage_signed_V,photovoltage_abs_V,mu_dark_V,mu_light_V,Top_PL_peak_intensity,PEA_pct,BDA_pct,FA_pct,PEA_frac,BDA_frac,FA_frac,label_FA_BDA_PEA,ternary_x,ternary_y,PL_norm,dV_norm,plot_order,num_peaks,dominant_peak_nm,dominant_phase,frac_n=1-like / 2D,frac_n=2-like,frac_n=3-like,frac_n=4-like,frac_n>=5 / high-n,frac_3D / 3D-like,frac_low_n_1_to_4,frac_high_n_plus_3D,phase_fraction_sum,pl_near_upper_limit
A1,0.134667,0.134667,-1.726221,-1.591554,99038.0,100.0,0.0,0.0,1.0,0.0,0.0,0/0/100,1.0,0.0,0.9910935873829158,0.9950493952134302,0,1,575.0,n=1-like / 2D,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
B1,0.135337,0.135337,-2.007095,-1.871758,99032.0,92.0,8.0,0.0,0.92,0.08,0.0,0/8/92,0.92,0.0,0.9910335441517892,1.0,1,1,561.0,n=1-like / 2D,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
G1,0.131101,0.131101,-1.473901,-1.3428,99928.0,76.0,24.0,0.0,0.76,0.24,0.0,0/24/76,0.76,0.0,1.0,0.9687003554090896,2,1,558.0,n=1-like / 2D,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
F6,-0.004901,0.004901,-1.693783,-1.698684,80449.0,28.000000000000004,72.0,0.0,0.28,0.72,0.0,0/72/28,0.28,0.0,0.8050696501481066,0.0362133045656398,3,1,523.0,n=1-like / 2D,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False
G10,0.034045,0.034071,-1.519054,-1.485009,20814.0,4.0,96.0,0.0,0.04,0.96,0.0,0/96/4,0.04,0.0,0.2082899687775198,0.2517493368406274,4,1,523.0,n=1-like / 2D,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False
H1,0.036866,0.036866,-1.437912,-1.401046,99569.0,76.0,16.0,8.0,0.76,0.16,0.08,8/16/76,0.8,0.069282032302755,0.9964074133376032,0.2724014866592284,5,6,554.0,n=1-like / 2D,0.265845,0.154262,0.183774,0.145996,0.155761,0.094363,0.749877,0.250124,1.0000010000000001,True
A3,0.004427,0.004427,-1.337351,-1.332924,88436.0,60.0,32.0,8.0,0.6,0.32,0.08,8/32/60,0.64,0.069282032302755,0.8849971979825474,0.0327109364032009,6,6,547.0,n=1-like / 2D,0.287458,0.112478,0.079946,0.087441,0.195031,0.237646,0.567323,0.432677,1.0,False
G6,0.011285,0.011285,-1.226078,-1.214793,28094.0,28.000000000000004,64.0,8.0,0.28,0.64,0.08,8/64/28,0.32,0.069282032302755,0.2811424225442318,0.0833844403230454,7,4,523.0,n=1-like / 2D,0.609967,0.242861,0.108698,0.038474,0.0,0.0,1.0,0.0,1.0,False
B11,-0.032401,0.032401,-1.671628,-1.70403,4485.0,4.0,72.0,24.0,0.04,0.72,0.24,24/72/4,0.16,0.2078460969082652,0.0448823152669922,0.2394097696860429,8,3,769.532516,3D / 3D-like,0.0,0.0,0.035823,0.44222,0.0,0.521958,0.478043,0.521958,1.0000010000000001,False
A6,0.060651,0.060651,-1.957245,-1.896594,19209.0,36.0,32.0,32.0,0.36,0.32,0.32,32/32/36,0.52,0.2771281292110203,0.1922284044512048,0.448147956582457,9,3,782.926063,3D / 3D-like,0.065508,0.0,0.0,0.0,0.16178,0.772712,0.065508,0.934492,1.0,False
D5,0.10426,0.10426,-1.360748,-1.256488,56767.0,44.0,0.0,56.00000000000001,0.44,0.0,0.56,56/0/44,0.72,0.4849742261192856,0.5680790168921623,0.7703732164892084,10,2,789.413666,3D / 3D-like,0.0,0.0,0.0,0.0,0.092429,0.907571,0.0,1.0,1.0,False
H11,-0.000701,0.000701,-1.535562,-1.536263,3389.0,4.0,24.0,72.0,0.04,0.24,0.72,72/24/4,0.3999999999999999,0.6235382907247957,0.0339144183812344,0.0051796626199782,11,4,715.5,n>=5 / high-n,0.041449,0.0,0.046348,0.0,0.555748,0.356454,0.087797,0.912202,0.9999990000000001,False
C12,0.090166,0.090166,-1.771002,-1.680836,2761.0,4.0,0.0,96.0,0.04,0.0,0.96,96/0/4,0.52,0.831384387633061,0.0276298935233368,0.6662331808744097,12,2,791.122937,3D / 3D-like,0.0,0.0,0.0,0.0,0.178297,0.821703,0.0,1.0,1.0,False
