well_id,FAPbI3_pct,BDAPbI4_pct,PEA2PbI4_pct,acquisition_number,elapsed_time_min,timestamp_approx,read_geometry,read_number,existing_peak_intensity_recomputed,integrated_pl_area,peak_wavelength_nm,fwhm_nm,baseline,qc_flags,matched_PL_intensity,peak_intensity_rank,integrated_area_rank,rank_difference_area_vs_peak,abs_rank_difference_area_vs_peak,abs_delta_SP,delta_SP,delta_SP_se,delta_SP_rank,integrated_area_rank_disagreement,peak_intensity_rank_disagreement
A1,0,0,100,22,189.0,2026-03-05 20:06:08,top,64,89757.87012987002,1948501.5,575.0,10.611451547795369,0.0,missing_or_overflow_points;possible_saturation,99038.0,3.0,7.0,33.0,33.0,0.134667099072998,0.134667099072998,0.002449259728824563,2.0,-5.0,-1.0
A3,8,32,60,22,189.0,2026-03-05 20:06:08,top,64,79579.48484848475,6994685.0,549.0,9.324789260072542,0.0,missing_or_overflow_points;possible_saturation,88436.0,5.0,2.0,-12.0,12.0,0.004427486267819303,0.004427486267819303,0.004976293395344275,12.0,10.0,7.0
A6,32,32,36,22,189.0,2026-03-05 20:06:08,top,64,18184.164502164476,1151937.5,782.0,45.18053103575346,38.0,ok,19209.0,10.0,9.0,5.0,5.0,0.06065120390747314,0.06065120390747314,0.005743163085631048,6.0,-3.0,-4.0
B1,0,8,92,22,189.0,2026-03-05 20:06:08,top,64,71167.52380952371,1773985.5,566.0,14.188679962243846,0.0,missing_or_overflow_points;possible_saturation,99032.0,4.0,8.0,36.0,36.0,0.1353365606641843,0.1353365606641843,0.00803559247191449,1.0,-7.0,-3.0
B11,24,72,4,22,189.0,2026-03-05 20:06:08,top,64,4103.320346320341,507420.5,745.0,115.11979614812188,0.0,ok,4485.0,11.0,11.0,-3.0,3.0,0.032401223543713886,-0.032401223543713886,0.003123994314151123,9.0,-2.0,-2.0
C12,96,0,4,22,189.0,2026-03-05 20:06:08,top,64,2596.043290043286,173309.5,795.0,53.34120899979132,0.0,ok,2761.0,13.0,13.0,0.0,0.0,0.09016583712941517,0.09016583712941517,0.007033371776078589,5.0,-8.0,-8.0
D5,56,0,44,22,189.0,2026-03-05 20:06:08,top,64,55839.82683982676,3267773.0,790.0,47.14647904404586,9.0,ok,56767.0,7.0,3.0,-6.0,6.0,0.1042604069110229,0.1042604069110229,0.008060553093453068,4.0,1.0,-3.0
F6,0,72,28,22,189.0,2026-03-05 20:06:08,top,64,79203.90476190465,2238267.0,524.0,22.78747163407462,0.0,possible_saturation,80449.0,6.0,6.0,7.0,7.0,0.004900734943430685,-0.004900734943430685,0.009249104376430612,11.0,5.0,5.0
G1,0,24,76,22,189.0,2026-03-05 20:06:08,top,64,96761.41991341978,2526627.5,560.0,17.087093833663687,0.0,missing_or_overflow_points;possible_saturation,99928.0,1.0,5.0,31.0,31.0,0.13110071663396639,0.13110071663396639,0.004344999987147901,3.0,-2.0,2.0
G6,8,64,28,22,189.0,2026-03-05 20:06:08,top,64,27939.190476190437,2531244.0,524.0,20.932723469743845,0.0,ok,28094.0,8.0,4.0,-20.0,20.0,0.011285030638038762,0.011285030638038762,0.008048117134571545,10.0,6.0,2.0
G10,0,96,4,22,189.0,2026-03-05 20:06:08,top,64,20634.796536796508,685942.0,524.0,22.446326344236873,0.0,ok,20814.0,9.0,10.0,21.0,21.0,0.034045223384249146,0.034045223384249146,0.0017018792099591303,8.0,-2.0,-1.0
H1,8,16,76,22,189.0,2026-03-05 20:06:08,top,64,82545.69264069253,9098829.5,556.0,16.614573378312016,0.0,missing_or_overflow_points;possible_saturation,99569.0,2.0,1.0,5.0,5.0,0.036865736958533235,0.036865736958533235,0.0008936424741818635,7.0,6.0,5.0
H11,72,24,4,22,189.0,2026-03-05 20:06:08,top,64,3171.4935064935016,386877.5,756.0,114.74230577290444,0.0,ok,3389.0,12.0,12.0,-3.0,3.0,0.0007009675917131197,-0.0007009675917131197,0.006007569620659129,13.0,1.0,1.0
