Acquisition iteration,Plate index (zero-based),Well ID,Nominal FAPbI3 (%),Nominal BDAPbI4 (%),Nominal PEA2PbI4 (%),Dark acquisition ID,Illuminated acquisition ID,Scan pixels,Scan area
1,0,A1,0,0,100,exp3_0000,exp3_0001,128 × 128,5 × 5 µm²
2,40,A6,32,32,36,exp3_0002,exp3_0003,128 × 128,5 × 5 µm²
3,78,G10,0,96,4,exp3_0004,exp3_0005,128 × 128,5 × 5 µm²
4,90,C12,96,0,4,exp3_0006,exp3_0007,128 × 128,5 × 5 µm²
5,1,B1,0,8,92,exp3_0008,exp3_0009,128 × 128,5 × 5 µm²
6,45,F6,0,72,28,exp3_0010,exp3_0011,128 × 128,5 × 5 µm²
7,35,D5,56,0,44,exp3_0012,exp3_0013,128 × 128,5 × 5 µm²
8,81,B11,24,72,4,exp3_0014,exp3_0015,128 × 128,5 × 5 µm²
9,87,H11,72,24,4,exp3_0016,exp3_0017,128 × 128,5 × 5 µm²
10,78,G10,0,96,4,exp3_0018,exp3_0019,128 × 128,5 × 5 µm²
11,7,H1,8,16,76,exp3_0020,exp3_0021,128 × 128,5 × 5 µm²
12,0,A1,0,0,100,exp3_0022,exp3_0023,128 × 128,5 × 5 µm²
13,16,A3,8,32,60,exp3_0024,exp3_0025,128 × 128,5 × 5 µm²
14,78,G10,0,96,4,exp3_0026,exp3_0027,128 × 128,5 × 5 µm²
15,0,A1,0,0,100,exp3_0028,exp3_0029,128 × 128,5 × 5 µm²
16,46,G6,8,64,28,exp3_0030,exp3_0031,128 × 128,5 × 5 µm²
17,6,G1,0,24,76,exp3_0032,exp3_0033,128 × 128,5 × 5 µm²
18,78,G10,0,96,4,exp3_0034,exp3_0035,128 × 128,5 × 5 µm²
19,0,A1,0,0,100,exp3_0036,exp3_0037,128 × 128,5 × 5 µm²
