Well,FA_pct,BDA_pct,PEA_pct,cell_text_FA_BDA_PEA
A1,0,0,100,0/0/100
A2,16,8,76,16/8/76
A3,8,32,60,8/32/60
A4,24,24,52,24/24/52
A5,32,24,44,32/24/44
A6,32,32,36,32/32/36
A7,24,48,28,24/48/28
A8,8,72,20,8/72/20
A9,72,8,20,72/8/20
A10,48,40,12,48/40/12
A11,16,80,4,16/80/4
A12,80,16,4,80/16/4
B1,0,8,92,0/8/92
B2,24,0,76,24/0/76
B3,16,24,60,16/24/60
B4,32,16,52,32/16/52
B5,40,16,44,40/16/44
B6,40,24,36,40/24/36
B7,32,40,28,32/40/28
B8,16,64,20,16/64/20
B9,80,0,20,80/0/20
B10,56,32,12,56/32/12
B11,24,72,4,24/72/4
B12,88,8,4,88/8/4
C1,8,0,92,8/0/92
C2,0,32,68,0/32/68
C3,24,16,60,24/16/60
C4,40,8,52,40/8/52
C5,48,8,44,48/8/44
C6,48,16,36,48/16/36
C7,40,32,28,40/32/28
C8,24,56,20,24/56/20
C9,80,8,12,80/8/12
C10,64,24,12,64/24/12
C11,32,64,4,32/64/4
C12,96,0,4,96/0/4
D1,0,16,84,0/16/84
D2,8,24,68,8/24/68
D3,32,8,60,32/8/60
D4,48,0,52,48/0/52
D5,56,0,44,56/0/44
D6,56,8,36,56/8/36
D7,48,24,28,48/24/28
D8,32,48,20,32/48/20
D9,88,0,12,88/0/12
D10,72,16,12,72/16/12
D11,40,56,4,40/56/4
D12,40,56,4,40/56/4
E1,8,8,84,8/8/84
E2,16,16,68,16/16/68
E3,40,0,60,40/0/60
E4,0,56,44,0/56/44
E5,0,64,36,0/64/36
E6,64,0,36,64/0/36
E7,56,16,28,56/16/28
E8,40,40,20,40/40/20
E9,16,72,12,16/72/12
E10,80,8,12,80/8/12
E11,48,48,4,48/48/4
E12,48,48,4,48/48/4
F1,16,0,84,16/0/84
F2,24,8,68,24/8/68
F3,0,48,52,0/48/52
F4,8,48,44,8/48/44
F5,8,56,36,8/56/36
F6,0,72,28,0/72/28
F7,64,8,28,64/8/28
F8,48,32,20,48/32/20
F9,24,64,12,24/64/12
F10,88,0,12,88/0/12
F11,56,40,4,56/40/4
F12,56,40,4,56/40/4
G1,0,24,76,0/24/76
G2,32,0,68,32/0/68
G3,8,40,52,8/40/52
G4,16,40,44,16/40/44
G5,16,48,36,16/48/36
G6,8,64,28,8/64/28
G7,72,0,28,72/0/28
G8,56,24,20,56/24/20
G9,32,56,12,32/56/12
G10,0,96,4,0/96/4
G11,64,32,4,64/32/4
G12,64,32,4,64/32/4
H1,8,16,76,8/16/76
H2,0,40,60,0/40/60
H3,16,32,52,16/32/52
H4,24,32,44,24/32/44
H5,24,40,36,24/40/36
H6,16,56,28,16/56/28
H7,0,80,20,0/80/20
H8,64,16,20,64/16/20
H9,40,48,12,40/48/12
H10,88,8,4,88/8/4
H11,72,24,4,72/24/4
H12,72,24,4,72/24/4
