well_id,retention,relative_range,peak_time_min,i189_over_i0,temporal_behavior_class,FAPbI3_pct,BDAPbI4_pct,PEA2PbI4_pct,selected_for_representative_panel
A1,0.9928123903563731,0.12159161236302742,171.0,1.1163613819534464,Lower observed temporal variation,0,0,100,False
A3,0.8851477815255577,0.17076694080305274,54.0,0.9120592390911997,Lower observed temporal variation,8,32,60,False
A6,0.7952720046369132,0.2461148251126548,117.0,0.9700535299464701,Lower observed temporal variation,32,32,36,False
B1,0.994377058398265,0.09135344382446695,135.0,1.027782678636293,Lower observed temporal variation,0,8,92,False
B11,0.25947353196413075,1.4523532250851272,153.0,1.8876262626262625,Pronounced temporal evolution,24,72,4,True
C12,0.18608883197411877,1.3302356322414604,153.0,0.8188018979833926,Pronounced temporal evolution,96,0,4,True
D5,0.7382020572439173,0.7107136395724618,153.0,1.8098259261620864,Pronounced temporal evolution,56,0,44,True
F6,0.9096655283927724,0.3000709108313982,90.0,1.2694122287968441,Pronounced temporal evolution,0,72,28,False
G1,1.0,0.08234026389911527,189.0,1.0637994357800606,Lower observed temporal variation,0,24,76,True
G10,0.8688428786107865,0.5751345973525153,162.0,1.0235051140833988,Pronounced temporal evolution,0,96,4,False
G6,0.7613962816412814,0.4181138941893513,153.0,0.9283589980834049,Pronounced temporal evolution,8,64,28,False
H1,1.0,0.18354481087681532,189.0,1.0842752912991398,Lower observed temporal variation,8,16,76,False
H11,0.22005064606194402,1.4383570691853937,144.0,1.2669158878504674,Pronounced temporal evolution,72,24,4,True
