manuscript_id,asset_type,output_paths,generator_script,source_paths,status,scope_note
Figure 1,figure,results/figures/author_supplied/Figure1_workflow_author_supplied.png,,,author-supplied-with-explicit-scope,"Rendered workflow reference extracted exactly from the current manuscript DOCX. The editable schematic source and a generating script were unavailable; this image is supplied for reference and is not claimed as computationally reproducible."
Figure 2,figure,results/figures/author_supplied/Figure2_binary_photokpfm_author_supplied.jpeg,,,author-supplied-with-explicit-scope,"Rendered binary-photoKPFM reference extracted exactly from the current manuscript DOCX. The underlying binary-library raw data and original GP generator were unavailable; the bundled ternary HDF5 file is not represented as its source."
Figure 3,figure,"results/figures/main/Figure3_GP_mean_map.png;results/figures/main/Figure3_GP_mean_map.svg;results/figures/main/Figure3_GP_mean_map.pdf;results/figures/main/Figure3_representative_SP_histogram_1.png;results/figures/main/Figure3_representative_SP_histogram_1.svg;results/figures/main/Figure3_representative_SP_histogram_1.pdf;results/figures/main/Figure3_representative_SP_histogram_2.png;results/figures/main/Figure3_representative_SP_histogram_2.svg;results/figures/main/Figure3_representative_SP_histogram_2.pdf;results/figures/main/Figure3_representative_SP_histogram_3.png;results/figures/main/Figure3_representative_SP_histogram_3.svg;results/figures/main/Figure3_representative_SP_histogram_3.pdf;results/figures/main/Figure3_representative_SP_histogram_4.png;results/figures/main/Figure3_representative_SP_histogram_4.svg;results/figures/main/Figure3_representative_SP_histogram_4.pdf",scripts/publication/generate_ternary_photokpfm_panels.py,data/raw/photokpfm_measurements.h5,reproducible,"One GP mean map and four standalone representative histograms. Panel lettering and final Figure 3 assembly occur outside the plotting script."
Figure 4a,figure,"results/figures/main/Figure4A_PL_189min_ternary.png;results/figures/main/Figure4A_PL_189min_ternary.svg;results/figures/main/Figure4A_PL_189min_ternary.pdf",scripts/publication/generate_publication_figures.py,"data/processed/pl_retention_metrics.csv;data/processed/matched_pl_photokpfm_metrics.csv;data/processed/representative_pl_trace_selection.csv",reproducible,"Standalone scientific panel; manuscript lettering and assembly occur outside the plotting script."
Figure 4b,figure,"results/figures/main/Figure4B_PL_retention_ternary.png;results/figures/main/Figure4B_PL_retention_ternary.svg;results/figures/main/Figure4B_PL_retention_ternary.pdf",scripts/publication/generate_publication_figures.py,"data/processed/pl_retention_metrics.csv;data/processed/matched_pl_photokpfm_metrics.csv;data/processed/representative_pl_trace_selection.csv",reproducible,"Standalone scientific panel; manuscript lettering and assembly occur outside the plotting script."
Figure 5a,figure,"results/figures/main/Figure5A_matched_screening_space.png;results/figures/main/Figure5A_matched_screening_space.svg;results/figures/main/Figure5A_matched_screening_space.pdf",scripts/publication/generate_publication_figures.py,"data/processed/matched_pl_photokpfm_metrics.csv;data/processed/representative_pl_trace_selection.csv",reproducible,"Standalone scientific panel; manuscript lettering and assembly occur outside the plotting script."
Figure 5b,figure,"results/figures/main/Figure5B_candidate_rank_comparison.png;results/figures/main/Figure5B_candidate_rank_comparison.svg;results/figures/main/Figure5B_candidate_rank_comparison.pdf",scripts/publication/generate_publication_figures.py,"data/processed/matched_pl_photokpfm_metrics.csv;data/processed/candidate_rank_comparison.csv",reproducible,"Standalone scientific panel; the rank table is regenerated from the matched metrics and manuscript lettering occurs outside the plotting script."
Figure S1,figure,"results/figures/supplementary/FigureS1_repeat_location_variability.png;results/figures/supplementary/FigureS1_repeat_location_variability.svg;results/figures/supplementary/FigureS1_repeat_location_variability.pdf",scripts/publication/generate_ternary_photokpfm_panels.py,data/raw/photokpfm_measurements.h5,reproducible,Standalone repeat-location variability panel.
Figure S2,figure,"results/figures/supplementary/FigureS2_GP_uncertainty_map.png;results/figures/supplementary/FigureS2_GP_uncertainty_map.svg;results/figures/supplementary/FigureS2_GP_uncertainty_map.pdf",scripts/publication/generate_ternary_photokpfm_panels.py,data/raw/photokpfm_measurements.h5,reproducible,Standalone GP posterior-uncertainty panel.
Figure S3,figure,"results/figures/supplementary/FigureS3_plate_composition_map.png;results/figures/supplementary/FigureS3_plate_composition_map.svg;results/figures/supplementary/FigureS3_plate_composition_map.pdf",scripts/publication/generate_publication_figures.py,data/processed/plate_composition_map.csv,reproducible,Standalone 96-well nominal-composition map.
Figure S4,figure,"results/figures/supplementary/FigureS4_representative_PL_time_traces.png;results/figures/supplementary/FigureS4_representative_PL_time_traces.svg;results/figures/supplementary/FigureS4_representative_PL_time_traces.pdf",scripts/publication/generate_publication_figures.py,"data/processed/representative_pl_traces.csv;data/processed/representative_pl_trace_selection.csv",reproducible,Standalone representative PL time-trace panel.
Figure S6,figure,"results/figures/supplementary/FigureS6_evidence_graph.png;results/figures/supplementary/FigureS6_evidence_graph.svg;results/figures/supplementary/FigureS6_evidence_graph.pdf",scripts/literature/plot_evidence_graph.py,"data/literature/evidence_graph_nodes.csv;data/literature/evidence_graph_edges.csv;data/literature/table_s4_retained_relationships.csv",reproducible,"Standalone evidence-graph panel; graph source tables are regenerated by scripts/literature/build_evidence_graph.py."
Table S1,table,results/tables/supplementary_tables_current_manuscript_S1-S4.docx,scripts/publication/generate_supplementary_tables.py,"data/raw/photokpfm_measurements.h5;data/processed/plate_composition_map.csv",reproducible,"Nineteen paired ternary photoKPFM acquisitions across 13 wells; exact timestamps and external absolute calibration were unavailable and were not inferred."
Table S2,table,results/tables/supplementary_tables_current_manuscript_S1-S4.docx,scripts/publication/generate_supplementary_tables.py,data/literature/table_s3_relationship_summary.csv,reproducible,Six-row literature relationship-count summary in the current manuscript numbering.
Table S3,table,results/tables/supplementary_tables_current_manuscript_S1-S4.docx,scripts/publication/generate_supplementary_tables.py,data/literature/table_s4_retained_relationships.csv,reproducible,Fifteen source-audited complementary relationships from seven DOI-linked papers in the current manuscript numbering.
Table S4,table,results/tables/supplementary_tables_current_manuscript_S1-S4.docx,scripts/publication/generate_supplementary_tables.py,data/processed/exploratory_association_statistics.csv,reproducible,"Thirty-six exploratory association tests; none passes BH-adjusted 0.05 and no causal claim is made."
