panel_number,selected_position_expression,acquisition_position_zero_based,plate_index_zero_based,well_id,PEA2PbI4_pct,BDAPbI4_pct,FAPbI3_pct,histogram_bin_center_v,dark_pixel_count,illuminated_pixel_count,dark_gaussian_fit_at_bin,illuminated_gaussian_fit_at_bin,SP_dark_v,SP_dark_fit_se_v,SP_illuminated_v,SP_illuminated_fit_se_v,delta_SP_v,delta_SP_fit_se_v
1,1,1,40,A6,36.0,32.0,32.0,-2.466666666666667,140,96,0.02086495150320911,5.316224082871924e-07,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-2.4,188,105,0.35846762518412983,7.514269660073412e-05,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-2.333333333333333,194,116,4.135622707446935,0.005742363353285689,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-2.2666666666666666,267,139,32.039836945396544,0.2372547728668961,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-2.2,413,163,166.68560538552967,5.299801964217936,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-2.1333333333333333,670,306,582.3234905469411,64.00659450523678,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-2.0666666666666664,1043,611,1366.1202722038481,417.9363981855143,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-2.0,2294,1317,2152.1472171138266,1475.421356673626,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-1.9333333333333333,2442,2806,2276.739954835483,2816.0627693112797,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-1.8666666666666667,1354,3049,1617.3845710089422,2905.95571466418,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-1.8,844,1436,771.5633251317938,1621.2726170832168,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-1.7333333333333334,336,564,247.1657384731124,489.03900486708335,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-1.6666666666666665,178,238,53.1695980108032,79.75379282657055,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-1.6,121,69,7.68063093955579,7.032011753772217,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-1.5333333333333332,31,31,0.7450558541335834,0.3352186907069206,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-1.4666666666666668,2,26,0.04853322813939976,0.008639672065624198,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-1.4,0,9,0.002122989957928429,0.00012038896661225481,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-1.3333333333333335,0,15,6.236129343346634e-05,9.069774934052214e-07,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
