acquisition_position_zero_based,plate_index_zero_based,well_id,ternary_x,ternary_y,PEA2PbI4_pct,BDAPbI4_pct,FAPbI3_pct,dark_acquisition,illuminated_acquisition,SP_dark_v,SP_dark_fit_se_v,SP_illuminated_v,SP_illuminated_fit_se_v,delta_SP_v,delta_SP_fit_se_v,repeat_location_for_FigureS1
0,0,A1,1.0,0.0,100.0,0.0,0.0,exp3_0000,exp3_0001,-2.312528046888241,0.00039789734785058935,-2.2406451222094015,0.0006375582672262593,0.07188292467883972,0.0007515336609461237,True
1,40,A6,0.52,0.27712812921102037,36.0,32.0,32.0,exp3_0002,exp3_0003,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048,False
2,78,G10,0.04,0.0,4.0,96.0,0.0,exp3_0004,exp3_0005,-2.187334162931442,0.0024528957357492862,-2.1870303127608373,0.0014778580774630328,0.00030385017060474695,0.0028636972583671906,True
3,90,C12,0.52,0.831384387633061,4.0000000000000036,0.0,96.0,exp3_0006,exp3_0007,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589,False
4,1,B1,0.92,0.0,92.0,7.9999999999999964,0.0,exp3_0008,exp3_0009,-2.007094908186417,0.005133696565637941,-1.8717583475222328,0.0061819014830912684,0.1353365606641843,0.00803559247191449,False
5,45,F6,0.28,0.0,28.000000000000004,72.0,0.0,exp3_0010,exp3_0011,-1.6937829754098692,0.0065809840595796205,-1.6986837103533,0.0064989676544561165,-0.004900734943430685,0.009249104376430612,False
6,35,D5,0.72,0.48497422611928565,43.99999999999999,0.0,56.00000000000001,exp3_0012,exp3_0013,-1.3607484272197277,0.006680221097169353,-1.2564880203087048,0.004510782888292151,0.1042604069110229,0.008060553093453066,False
7,81,B11,0.16,0.20784609690826525,4.000000000000001,72.0,24.0,exp3_0014,exp3_0015,-1.6716283948494681,0.002354713224972856,-1.704029618393182,0.002052965197704646,-0.032401223543713886,0.003123994314151123,False
8,87,H11,0.39999999999999997,0.6235382907247957,3.9999999999999982,24.0,72.0,exp3_0016,exp3_0017,-1.5355618001944897,0.004757492222480478,-1.5362627677862029,0.0036684002644346535,-0.0007009675917131197,0.006007569620659129,False
9,78,G10,0.04,0.0,4.0,96.0,0.0,exp3_0018,exp3_0019,-1.5958336750587965,0.002671204294804867,-1.484197725862626,0.003801154287363562,0.11163594919617048,0.004645869811017777,True
10,7,H1,0.8,0.06928203230275509,76.0,15.999999999999998,8.0,exp3_0020,exp3_0021,-1.4379118912126954,0.0007927271025121529,-1.4010461542541621,0.00041252952937283096,0.036865736958533235,0.0008936424741818635,False
11,0,A1,1.0,0.0,100.0,0.0,0.0,exp3_0022,exp3_0023,-1.6814392446892783,0.005196278074892206,-1.534154036322911,0.004378615453946667,0.14728520836636738,0.006795114357032266,True
12,16,A3,0.64,0.06928203230275509,60.0,32.0,8.0,exp3_0024,exp3_0025,-1.3373513301023725,0.0028751683652111022,-1.3329238438345532,0.0040616379489359184,0.004427486267819303,0.004976293395344275,False
13,78,G10,0.04,0.0,4.0,96.0,0.0,exp3_0026,exp3_0027,-1.2495965542683585,0.0021668651435161404,-1.225303684355156,0.0017110928689006903,0.024292869913202564,0.002761004048564221,True
14,0,A1,1.0,0.0,100.0,0.0,0.0,exp3_0028,exp3_0029,-1.4845520401974934,0.0037313292448154993,-1.3805006961019124,0.0015203073251428966,0.10405134409558103,0.004029162728917579,True
15,46,G6,0.32,0.06928203230275509,28.000000000000004,64.0,8.0,exp3_0030,exp3_0031,-1.2260779721633386,0.005444602324475929,-1.2147929415252998,0.005926929638530848,0.011285030638038762,0.008048117134571545,False
16,6,G1,0.76,0.0,76.0,24.0,0.0,exp3_0032,exp3_0033,-1.4739007089375258,0.0036245386644726406,-1.3427999923035594,0.0023961937229819608,0.13110071663396639,0.004344999987147901,False
17,78,G10,0.04,0.0,4.0,96.0,0.0,exp3_0034,exp3_0035,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134,True
18,0,A1,1.0,0.0,100.0,0.0,0.0,exp3_0036,exp3_0037,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455,True
